cluster,event_count,unique_products,cart_count,purchase_count,session_duration_min,purchase_amount,unique_categories
0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1,1.0416666666666667,1.0110544217687074,0.006802721088435374,1.001700680272109,0.18582766439909296,159.8302806122449,1.0
2,2.174953959484346,2.160220994475138,0.027624309392265192,0.014732965009208104,13.53720073664825,3.9532780847145492,2.034990791896869
3,2.0247252747252746,2.0,0.0015698587127158557,0.0007849293563579278,6.37742019884877,0.1030298273155416,1.0
4,4.0,4.0,0.0,0.0,4880.816666666667,0.0,2.0
5,1.0629510825982358,1.0196471531676023,1.0112269446672013,0.0,0.17941058540497193,0.0,1.0
6,1.0717703349282297,1.0430622009569377,0.009569377990430622,1.0095693779904307,0.3740031897926635,1194.1242105263157,1.0047846889952152
7,1.0490654205607477,1.0046728971962617,0.014018691588785047,1.0,0.3633566978193147,537.6327803738318,1.0
8,3.4,3.203448275862069,0.03103448275862069,0.006896551724137931,26.36597701149425,0.7615862068965518,1.006896551724138
9,2.028957528957529,1.0,0.009652509652509652,0.0,2.9051480051480048,0.0,1.0
